device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,skin,0.014643,0.010528,0.018912,0.023168
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,features_world,1.074685,1.039936,1.097728,1.301728
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,encoder_node,2.337479,2.307072,2.509120,2.702144
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,encoder_mesh,12.163444,12.027296,12.317888,12.479488
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,encoder_world_direct,1.550505,1.528832,1.546016,1.902592
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,encoder_world_inverse,1.548155,1.530272,1.541856,1.901568
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_00_edge,31.488284,31.083936,31.849568,31.936256
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_00_node,3.872322,3.722688,4.007936,4.214784
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_01_edge,31.622627,31.193088,32.000000,32.199424
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_01_node,3.865889,3.725664,4.007712,4.241472
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_02_edge,31.599174,31.160704,31.989920,32.114688
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_02_node,3.868031,3.724160,4.008960,4.223552
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_03_edge,31.559716,31.127008,31.912960,32.142336
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_03_node,3.883210,3.725312,4.060384,4.227104
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_04_edge,31.570547,31.168352,31.890432,32.166528
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_04_node,3.871147,3.724896,4.092672,4.222304
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_05_edge,31.582940,31.162368,31.978656,32.108576
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_05_node,3.870905,3.724544,4.011680,4.184064
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_06_edge,31.558446,31.140512,31.946496,32.061632
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_06_node,3.864271,3.723776,4.009920,4.219968
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_07_edge,31.524853,31.103648,31.898624,32.090144
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_07_node,3.884680,3.724672,4.125888,4.214976
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_08_edge,31.550253,31.148384,31.866880,31.983968
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_08_node,3.890473,3.725184,4.221856,4.246528
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_09_edge,31.507474,31.108096,31.842112,32.033824
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_09_node,3.868047,3.723264,4.006912,4.173632
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_10_edge,31.594738,31.163232,31.970112,32.139392
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_10_node,3.871705,3.724288,4.009696,4.368000
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_11_edge,31.540646,31.121824,31.911936,32.185120
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_11_node,3.875000,3.723808,4.007936,4.240800
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_12_edge,31.579124,31.149344,31.955232,32.238592
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_12_node,3.888565,3.726336,4.191232,4.326816
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_13_edge,31.549938,31.149056,31.818752,32.131168
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_13_node,3.878871,3.725312,4.101120,4.366816
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_14_edge,31.625167,31.192064,31.998240,32.145824
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,block_14_node,3.867244,3.726112,4.009280,4.220960
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,encoder_total,17.599582,17.399200,17.861184,17.885184
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,processor_15_total,531.574286,525.815200,538.504928,539.276288
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,decoder_integrate,1.546284,1.525760,1.541920,1.907680
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,120,total,551.809480,545.921632,558.816992,559.576864
