device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,skin,0.056122,0.050272,0.060224,0.062272
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,features_world,1.170869,0.584160,0.894976,11.016704
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,encoder_node,5.994304,2.100736,13.442624,13.503328
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,encoder_mesh,9.725448,2.981632,15.444800,24.903680
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,encoder_world_direct,1.140378,0.525984,1.126432,10.992640
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,encoder_world_inverse,1.723237,0.526272,11.468704,12.705024
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_00_edge,27.676530,10.994944,32.032768,33.521664
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_00_node,4.648190,1.857056,12.428288,14.116864
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_01_edge,29.122637,20.007360,33.340352,34.031840
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_01_node,5.452986,1.847232,13.537312,14.533792
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_02_edge,27.908915,9.211104,33.023744,33.611488
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_02_node,7.435706,1.846272,13.763360,13.773824
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_03_edge,29.515149,20.122240,34.175616,35.316992
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_03_node,5.379107,1.828256,13.704256,13.884416
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_04_edge,30.759094,20.082848,34.572512,53.651456
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_04_node,4.160397,1.845600,12.703168,13.763296
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_05_edge,30.412106,19.650304,33.612608,46.276192
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_05_node,7.016019,1.858656,13.578624,13.791232
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_06_edge,29.598491,20.200256,34.312320,41.377376
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_06_node,5.466858,1.851136,13.584384,15.189888
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_07_edge,29.033739,9.051104,33.315840,33.933312
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_07_node,4.859334,1.819328,13.650944,15.073696
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_08_edge,28.771654,10.467328,33.442304,34.306944
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_08_node,6.457661,1.844544,13.231968,14.542400
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_09_edge,25.615222,9.125120,33.601728,34.429856
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_09_node,8.575915,1.849344,13.553952,13.846848
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,20,block_10_edge,27.906179,19.925760,33.351328,40.752128
