device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,skin,0.048746,0.043264,0.054784,0.057472
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,features_world,0.033389,0.031520,0.034624,0.035840
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,encoder_node,0.285041,0.283648,0.285760,0.286400
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,encoder_mesh,0.381594,0.352480,0.566272,0.688064
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,encoder_world_direct,0.066975,0.065280,0.067584,0.067968
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,encoder_world_inverse,0.102374,0.064160,0.279456,0.394496
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_00_edge,1.022445,0.955904,1.297440,1.389024
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_00_node,0.287792,0.256480,0.453632,0.630528
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_01_edge,1.006921,0.942176,1.279712,1.378304
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_01_node,0.282261,0.248832,0.444128,0.598016
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_02_edge,1.038469,0.958304,1.207040,1.456128
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_02_node,0.289944,0.261120,0.459040,0.599680
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_03_edge,1.075966,0.966176,1.335136,1.376608
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_03_node,0.309065,0.261728,0.472640,0.618784
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_04_edge,1.056217,0.960288,1.349632,1.510400
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_04_node,0.314742,0.268288,0.507904,0.596608
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_05_edge,1.040806,0.969248,1.229568,1.343488
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_05_node,0.284688,0.258048,0.426816,0.477184
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_06_edge,1.050015,0.962560,1.214464,1.385664
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_06_node,0.296302,0.264608,0.484608,0.651264
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_07_edge,1.078588,0.959744,1.336320,1.531904
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_07_node,0.300941,0.278144,0.306720,0.589152
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_08_edge,1.058154,0.960672,1.335296,1.347648
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_08_node,0.300423,0.269344,0.456384,0.593504
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_09_edge,1.140339,0.963008,1.305824,7.498080
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_09_node,0.292945,0.270336,0.304128,0.491936
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_10_edge,1.055999,0.951200,1.313600,1.945312
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_10_node,0.279994,0.257024,0.291968,0.596448
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_11_edge,1.049846,0.950432,1.317280,1.391616
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_11_node,0.299541,0.265216,0.422848,0.698368
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_12_edge,1.065339,0.978944,1.258496,1.348288
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_12_node,0.299846,0.274816,0.310272,0.492544
