device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,skin,0.048593,0.042752,0.053344,0.056832
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,features_world,0.037892,0.035840,0.039264,0.039936
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,encoder_node,0.305551,0.304128,0.310272,0.310944
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,encoder_mesh,0.606868,0.585728,0.590880,1.057024
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,encoder_world_direct,0.068263,0.066528,0.069632,0.069984
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,encoder_world_inverse,0.066707,0.065248,0.067584,0.068000
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_00_edge,2.487791,2.264064,2.806016,2.865312
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_00_node,1.311342,1.232224,1.514304,1.948672
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_01_edge,2.376140,2.270208,2.558976,2.856000
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_01_node,1.313136,1.234464,1.652480,1.904640
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_02_edge,2.472516,2.323360,2.824704,2.978176
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_02_node,1.354027,1.231520,1.875360,2.046336
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_03_edge,0.973846,0.926464,1.091936,1.441984
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_03_node,1.275735,1.213440,1.457728,1.990880
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_04_edge,0.993461,0.915424,1.105408,1.450464
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_04_node,1.291451,1.216768,1.542816,1.864992
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_05_edge,0.982602,0.941248,1.040992,1.401856
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_05_node,1.344699,1.211840,1.868064,1.960960
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_06_edge,0.400579,0.339968,0.792096,0.942304
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_06_node,0.957350,0.873600,1.414880,1.457664
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_07_edge,0.361909,0.331776,0.375776,0.684448
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_07_node,0.930509,0.872768,1.130336,1.574912
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_08_edge,0.363969,0.334368,0.378880,0.393216
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_08_node,0.908131,0.866432,0.928192,1.887232
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_09_edge,0.984532,0.913472,1.355360,1.412384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_09_node,1.277203,1.212416,1.471744,1.868544
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_10_edge,0.906237,0.862528,0.916928,1.245632
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_10_node,1.366497,1.214560,1.855200,1.956448
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_11_edge,1.033335,0.948608,1.395360,1.452032
