device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,skin,0.012641,0.010688,0.015296,0.023872
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,features_world,0.055376,0.051520,0.058208,0.058432
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,encoder_node,0.315883,0.314016,0.320512,0.323328
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,encoder_mesh,1.471599,1.402336,1.732608,1.880064
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,encoder_world_direct,0.184754,0.182272,0.186400,0.187456
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,encoder_world_inverse,0.209869,0.182432,0.359424,0.512832
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_00_edge,3.637257,3.415040,3.904992,4.026560
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_00_node,0.730549,0.670496,0.888864,1.014720
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_01_edge,3.570648,3.356672,3.806976,3.927040
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_01_node,0.777779,0.707520,0.981984,1.150976
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_02_edge,3.542242,3.324928,3.846752,3.986816
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_02_node,0.692548,0.604128,0.864480,1.090304
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_03_edge,3.653674,3.424256,3.875840,4.156128
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_03_node,0.733838,0.680384,0.910176,0.996672
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_04_edge,3.611515,3.422208,3.909952,3.940352
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_04_node,0.681576,0.623200,0.823680,0.983040
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_05_edge,3.642636,3.402752,4.021248,4.158464
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_05_node,0.703150,0.639584,0.904192,1.080704
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_06_edge,3.802789,3.530176,4.085760,5.047296
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_06_node,0.705417,0.623616,0.908576,0.967680
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_07_edge,3.714820,3.442688,3.980448,4.481024
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_07_node,0.729995,0.662176,0.894976,0.949760
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_08_edge,3.702444,3.461632,3.981312,4.193504
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_08_node,0.684716,0.623424,0.919744,0.968704
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_09_edge,3.670166,3.446976,3.950464,4.137984
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_09_node,0.769636,0.710656,0.923680,1.032320
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_10_edge,3.595662,3.378368,3.855360,4.024320
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_10_node,0.729649,0.658912,0.904224,0.984448
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_11_edge,3.583587,3.334912,3.827584,3.912224
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_11_node,0.705134,0.635168,0.849920,0.976896
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_12_edge,3.601705,3.402080,3.869760,3.957760
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_12_node,0.726913,0.675840,0.896224,0.972288
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_13_edge,3.726462,3.452928,4.054016,4.209664
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_13_node,0.680962,0.623552,0.841280,0.967264
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_14_edge,3.692457,3.493632,3.954880,4.086272
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_14_node,0.700981,0.629760,0.946880,1.096032
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,encoder_total,2.182104,2.087936,2.428928,2.725760
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,processor_15_total,65.500907,64.345088,66.211840,68.553728
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,decoder_integrate,0.143948,0.138880,0.141568,0.349472
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,total,67.894975,66.984512,68.647264,70.853888
