device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,skin,0.009725,0.007776,0.011904,0.014720
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,features_world,0.049434,0.046496,0.052768,0.055712
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_node,0.027903,0.025888,0.030400,0.030976
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_mesh,0.102699,0.101120,0.104672,0.104928
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_world_direct,0.015847,0.014336,0.017408,0.017760
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_world_inverse,0.015506,0.014336,0.016384,0.016992
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_00_edge,0.184702,0.173856,0.180736,0.376512
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_00_node,0.055715,0.025568,0.238400,0.345856
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_01_edge,0.175003,0.173792,0.176064,0.177344
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_01_node,0.026473,0.025504,0.027264,0.027648
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_02_edge,0.175027,0.173792,0.176576,0.181184
