device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,skin,0.010769,0.008576,0.013632,0.014496
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,features_world,0.051323,0.048128,0.054496,0.055296
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,encoder_node,0.071816,0.069440,0.073984,0.074528
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,encoder_mesh,0.367084,0.313856,0.631808,0.645600
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,encoder_world_direct,0.043045,0.041312,0.044704,0.045056
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,encoder_world_inverse,0.042486,0.041568,0.043168,0.043424
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_00_edge,0.651535,0.627296,0.841312,0.952256
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_00_node,0.094333,0.085440,0.091648,0.300032
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_01_edge,0.632374,0.627232,0.631488,0.844800
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_01_node,0.086697,0.085600,0.087488,0.088064
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_02_edge,0.641912,0.627552,0.632192,0.996416
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_02_node,0.086437,0.085536,0.087200,0.087552
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_03_edge,0.628818,0.627488,0.631488,0.634336
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_03_node,0.101198,0.085344,0.087392,0.420864
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,encoder_total,0.524431,0.468704,0.787680,0.802272
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,processor_4_total,2.925733,2.859328,3.192096,3.234816
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,decoder_integrate,0.042803,0.041984,0.043008,0.044032
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,total,3.555059,3.430400,3.765216,4.023776
