device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,skin,0.031289,0.022432,0.050208,0.051520
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,features_world,0.029871,0.028480,0.031392,0.032448
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,encoder_node,0.064654,0.062720,0.067168,0.067616
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,encoder_mesh,0.081207,0.079648,0.082944,0.083296
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,encoder_world_direct,0.017213,0.015584,0.018432,0.019072
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,encoder_world_inverse,0.016921,0.016384,0.017472,0.017696
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_00_edge,0.162304,0.160768,0.163840,0.166944
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_00_node,1.292795,0.034816,12.259328,24.414208
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_01_edge,0.162123,0.160672,0.163936,0.164224
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_01_node,0.036107,0.034720,0.037216,0.037472
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_02_edge,0.165945,0.160992,0.165920,0.369248
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_02_node,1.266955,0.034784,12.203328,12.612672
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_03_edge,0.162215,0.160768,0.164704,0.166048
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_03_node,0.036500,0.034816,0.039680,0.040960
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,encoder_total,0.179995,0.177120,0.184992,0.185344
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,processor_4_total,3.287443,0.792576,13.159424,25.583584
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,decoder_integrate,0.016521,0.015360,0.017408,0.017408
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,total,3.545118,1.039648,13.409248,25.830816
