device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,skin,0.054804,0.044896,0.061888,0.115040
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,features_world,0.597159,0.591712,0.602240,0.623072
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,encoder_node,0.304501,0.303104,0.305152,0.305568
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,encoder_mesh,0.614426,0.585408,0.805888,1.007712
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,encoder_world_direct,0.068263,0.067040,0.069376,0.069824
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,encoder_world_inverse,0.066690,0.064736,0.067936,0.068416
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_00_edge,2.300983,2.161664,2.543488,2.807328
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_00_node,1.681436,1.522944,2.112128,2.312064
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_01_edge,2.457881,2.291072,2.870368,3.501056
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_01_node,1.782766,1.520704,2.189312,2.471936
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_02_edge,2.500186,2.324000,2.957792,3.008736
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_02_node,1.665026,1.520640,1.943200,2.506176
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_03_edge,0.981973,0.923392,1.163968,1.412096
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_03_node,1.586571,1.459776,1.906560,2.207680
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_04_edge,1.014441,0.946176,1.306912,1.413248
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_04_node,1.627261,1.463136,2.055840,2.482496
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_05_edge,1.003065,0.917312,1.226304,1.546240
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_05_node,1.568953,1.454688,1.844512,2.122048
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_06_edge,0.364706,0.331936,0.522688,0.562400
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_06_node,1.176238,1.088992,1.453984,1.538528
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_07_edge,0.340711,0.324000,0.346272,0.526592
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_07_node,1.180101,1.091968,1.339328,1.834688
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_08_edge,0.372480,0.338432,0.528384,0.588576
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_08_node,1.171955,1.084064,1.358848,1.386496
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_09_edge,0.933092,0.905472,0.949856,0.959968
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,postcvpr,1377,7894,4096,60,block_09_node,1.532979,1.457152,1.625728,1.804736
