device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,skin,0.055537,0.046784,0.059136,0.061760
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,features_world,0.643979,0.481536,1.110208,2.596704
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,encoder_node,2.824443,2.123776,5.112800,6.096416
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,encoder_mesh,3.812891,3.010560,5.910592,8.706368
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,encoder_world_direct,0.669228,0.531456,1.254304,2.063488
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,encoder_world_inverse,0.687937,0.532800,1.150976,3.159936
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_00_edge,13.096983,9.754784,16.701696,17.476448
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_00_node,2.500803,1.836000,4.562880,5.638496
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_01_edge,12.668465,9.778144,16.166400,17.209120
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_01_node,2.325652,1.832224,3.503872,5.883904
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_02_edge,12.725291,9.754624,16.710912,17.372768
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_02_node,2.705360,1.833120,4.954816,5.343584
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,fine15,1377,7894,4096,60,block_03_edge,12.621222,9.424384,16.285792,16.898048
