device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,skin,0.012715,0.010688,0.015232,0.016000
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,features_world,1.247162,1.110016,2.211296,2.223584
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,encoder_node,0.827955,0.650240,1.497696,2.690816
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,encoder_mesh,4.196234,3.362368,7.270400,9.326592
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,encoder_world_direct,0.486957,0.431968,1.036448,1.146624
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,encoder_world_inverse,0.545790,0.432128,1.096960,1.536064
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_00_edge,10.052384,8.310784,13.557248,14.706240
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_00_node,1.240404,1.021536,2.276352,3.128160
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_01_edge,10.101166,8.317408,14.555808,14.824000
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_01_node,1.283651,1.023808,2.614272,3.149824
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_02_edge,9.959747,8.305568,13.767680,14.643200
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_02_node,1.315828,1.022976,2.607104,2.993152
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_03_edge,10.073081,8.327392,13.593888,14.863296
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,block_03_node,1.269765,1.023936,2.410208,2.752224
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,encoder_total,6.056936,4.882432,9.847328,10.959648
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,processor_4_total,45.298567,43.800576,48.654528,50.281472
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,decoder_integrate,0.558484,0.444416,1.273856,1.905664
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,60,total,53.173863,50.755808,57.108800,57.501056
