device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,skin,0.042174,0.020992,0.055904,0.060512
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,features_world,0.732683,0.477184,1.493408,1.714912
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,encoder_node,0.065976,0.063136,0.067584,0.067616
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,encoder_mesh,0.091609,0.079680,0.082976,0.663136
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,encoder_world_direct,0.019103,0.016320,0.019136,0.078848
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,encoder_world_inverse,0.017260,0.016096,0.018432,0.021984
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_00_edge,0.633501,0.415744,1.210368,2.104320
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_00_node,0.082788,0.074368,0.086496,0.296416
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_01_edge,0.682153,0.416352,1.285952,2.747936
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_01_node,0.168287,0.073728,0.820512,1.414080
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_02_edge,0.675409,0.416000,1.426176,2.322432
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_02_node,0.089433,0.074752,0.087488,0.650976
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_03_edge,0.721614,0.416128,1.779712,2.519040
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,block_03_node,0.115800,0.074112,0.459776,0.705248
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,encoder_total,0.193948,0.176800,0.190048,0.765568
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,processor_4_total,3.171472,1.979392,6.808576,7.698336
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,decoder_integrate,0.047596,0.016384,0.017824,1.254400
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,60,total,4.187874,2.672832,7.852896,9.475456
