device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,skin,0.014386,0.010688,0.019616,0.019968
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,features_world,1.419971,1.062272,2.561024,2.953440
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,encoder_node,0.351283,0.313952,0.332000,1.648640
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,encoder_mesh,2.078477,1.403904,4.316032,6.147776
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,encoder_world_direct,0.294730,0.184576,1.098752,1.656352
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,encoder_world_inverse,0.255335,0.183904,0.798048,1.305600
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_00_edge,17.267514,13.017568,21.141792,22.563840
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_00_node,0.935455,0.664640,2.170144,2.426592
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_01_edge,17.450803,12.947744,22.154784,23.123584
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_01_node,1.059867,0.656416,2.168832,3.421184
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_02_edge,17.458092,13.152416,22.135872,23.015168
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_02_node,0.941705,0.578624,2.225440,3.533920
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_03_edge,17.512317,12.873440,23.448512,26.040544
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_03_node,0.945922,0.628736,1.937056,2.214272
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_04_edge,17.635305,13.491200,21.276672,22.445056
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_04_node,0.966290,0.664832,1.817056,2.716096
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_05_edge,17.700515,13.436928,21.906016,23.409472
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_05_node,0.994405,0.626400,2.232864,2.338560
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_06_edge,17.165530,13.253408,22.611136,22.789952
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_06_node,1.077034,0.591008,2.473120,3.122976
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_07_edge,17.678649,13.592576,22.457632,24.965664
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,fine15,4096,32004,1986,60,block_07_node,0.999638,0.689376,1.998240,2.652224
