device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,skin,0.009557,0.007680,0.011808,0.012736
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,features_world,0.053922,0.048128,0.058368,0.063488
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_node,0.027732,0.025856,0.030432,0.030784
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_mesh,0.102449,0.100960,0.104128,0.104448
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_world_direct,0.015803,0.014208,0.017824,0.018208
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_world_inverse,0.015482,0.014336,0.016384,0.017056
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_00_edge,0.180090,0.173856,0.181056,0.354304
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_00_node,0.037496,0.025600,0.029344,0.384544
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_01_edge,0.176837,0.173728,0.179072,0.180224
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_01_node,0.027678,0.025600,0.028704,0.029696
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_02_edge,0.180347,0.173664,0.180000,0.365760
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_02_node,0.037088,0.026624,0.030528,0.403680
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_03_edge,0.176867,0.173920,0.179200,0.179840
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_03_node,0.027610,0.025504,0.028544,0.029696
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_04_edge,0.177054,0.173728,0.179904,0.181984
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_04_node,0.056060,0.025408,0.259872,0.381216
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_05_edge,0.177041,0.174048,0.179200,0.179936
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_05_node,0.027710,0.026016,0.028832,0.029888
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_06_edge,0.177549,0.174016,0.180992,0.183040
