device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,skin,0.026272,0.026272,0.026272,0.026272
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,features_world,0.607232,0.607232,0.607232,0.607232
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,encoder_node,0.611968,0.611968,0.611968,0.611968
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,encoder_mesh,0.868000,0.868000,0.868000,0.868000
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,encoder_world_direct,0.157408,0.157408,0.157408,0.157408
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,encoder_world_inverse,0.157696,0.157696,0.157696,0.157696
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,block_00_edge,2.610944,2.610944,2.610944,2.610944
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,block_00_node,0.689408,0.689408,0.689408,0.689408
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,block_01_edge,2.617056,2.617056,2.617056,2.617056
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,block_01_node,0.696448,0.696448,0.696448,0.696448
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,block_02_edge,2.606240,2.606240,2.606240,2.606240
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,block_02_node,0.678912,0.678912,0.678912,0.678912
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,block_03_edge,2.621440,2.621440,2.621440,2.621440
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,block_03_node,0.678912,0.678912,0.678912,0.678912
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,encoder_total,1.795072,1.795072,1.795072,1.795072
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,processor_4_total,13.202432,13.202432,13.202432,13.202432
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,decoder_integrate,0.160768,0.160768,0.160768,0.160768
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,1,total,15.791776,15.791776,15.791776,15.791776
