device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,skin,0.022833,0.021216,0.026080,0.028896
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,features_world,0.479686,0.466912,0.497888,0.676416
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,encoder_node,0.591030,0.573440,0.612160,0.783488
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,encoder_mesh,0.832280,0.814976,0.870400,1.022016
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,encoder_world_direct,0.150012,0.146688,0.158720,0.159744
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,encoder_world_inverse,0.149931,0.145728,0.157696,0.162432
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,block_00_edge,2.094077,2.048000,2.229792,2.421376
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,block_00_node,0.425346,0.403232,0.453632,0.650400
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,block_01_edge,2.084379,2.048544,2.185216,2.259968
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,block_01_node,0.423511,0.397312,0.468416,0.490496
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,block_02_edge,2.093388,2.046976,2.254272,2.418016
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,block_02_node,0.425432,0.396384,0.454656,0.620544
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,block_03_edge,2.087372,2.051712,2.189056,2.400928
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,block_03_node,0.422775,0.402432,0.451136,0.469888
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,encoder_total,1.723252,1.682816,1.889280,1.893376
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,processor_4_total,10.058786,9.854400,10.729472,10.771008
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,decoder_integrate,0.153480,0.149504,0.161792,0.167584
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood64x4,1377,7894,4096,50,total,12.438037,12.181472,13.209088,13.245952
