device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,skin,0.011930,0.009920,0.014112,0.019456
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,features_world,0.791418,0.740736,0.970848,1.005568
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,encoder_node,0.638319,0.635296,0.640320,0.640704
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,encoder_mesh,3.304916,3.288384,3.499520,3.505120
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,encoder_world_direct,0.428169,0.422112,0.426528,0.614432
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,encoder_world_inverse,0.432492,0.422912,0.427008,0.634240
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,block_00_edge,8.202068,8.140800,8.353152,8.495104
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,block_00_node,1.022795,1.001472,1.221408,1.260064
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,block_01_edge,8.197899,8.143584,8.356864,8.366080
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,block_01_node,1.037184,1.001920,1.302016,1.379328
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,block_02_edge,8.174949,8.126912,8.340480,8.347232
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,block_02_node,1.032398,1.000384,1.248640,1.318720
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,block_03_edge,8.233260,8.161248,8.521216,8.619872
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,block_03_node,1.034436,1.002720,1.255552,1.264128
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,encoder_total,4.803896,4.774304,4.990880,5.144288
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,processor_4_total,36.937539,36.604928,38.392288,38.554944
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,decoder_integrate,0.441412,0.435200,0.439296,0.641024
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood64x4,4096,32004,1986,50,total,42.986195,42.589184,44.460576,44.537056
