device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,skin,0.023196,0.022016,0.023872,0.028352
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,features_world,0.031189,0.027520,0.034336,0.037888
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,encoder_node,0.024555,0.023552,0.025376,0.026848
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,encoder_mesh,0.027738,0.026848,0.028672,0.028672
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,encoder_world_direct,0.007312,0.006144,0.008192,0.012576
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,encoder_world_inverse,0.007229,0.006144,0.007936,0.010912
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_00_edge,0.051566,0.045056,0.055456,0.252928
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_00_node,0.014420,0.012960,0.016384,0.017632
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_01_edge,0.050352,0.044896,0.055296,0.083328
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_01_node,0.014338,0.012640,0.016160,0.016800
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_02_edge,0.050109,0.044800,0.055168,0.056512
