device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,skin,0.023320,0.022144,0.024032,0.028384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,features_world,0.032828,0.031424,0.034528,0.035520
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,encoder_node,0.024580,0.023552,0.025216,0.025600
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,encoder_mesh,0.027852,0.026880,0.028672,0.032256
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,encoder_world_direct,0.007159,0.006144,0.007840,0.007968
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,encoder_world_inverse,0.007181,0.006144,0.007872,0.012480
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_00_edge,0.053118,0.051200,0.055520,0.056320
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_00_node,0.015209,0.014112,0.016384,0.019712
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_01_edge,0.054412,0.051200,0.055648,0.262304
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_01_node,0.016594,0.013760,0.016384,0.228576
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_02_edge,0.052998,0.050880,0.055648,0.057536
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_02_node,0.015274,0.013824,0.016384,0.049472
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_03_edge,0.053058,0.051008,0.055424,0.056416
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_03_node,0.015193,0.013792,0.016288,0.020288
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_04_edge,0.052899,0.051104,0.055296,0.056320
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_04_node,0.015248,0.014048,0.016416,0.018912
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_05_edge,0.052929,0.051136,0.055552,0.056480
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_05_node,0.016292,0.013824,0.016384,0.179104
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_06_edge,0.052948,0.051168,0.055456,0.056992
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_06_node,0.015125,0.013472,0.016384,0.020256
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_07_edge,0.053008,0.051040,0.055776,0.058464
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_07_node,0.015043,0.013856,0.016128,0.016480
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_08_edge,0.052943,0.051200,0.055776,0.056736
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_08_node,0.015095,0.013824,0.016224,0.017600
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_sprint,tinyhood32x12,1377,7894,4096,150,block_09_edge,0.053005,0.051072,0.055744,0.059584
