device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,skin,0.023379,0.021344,0.023488,0.232896
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,features_world,0.032680,0.030464,0.033056,0.240640
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,encoder_node,0.024629,0.023552,0.025344,0.028864
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,encoder_mesh,0.027789,0.026784,0.028672,0.031904
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,encoder_world_direct,0.007191,0.006144,0.007904,0.011552
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,encoder_world_inverse,0.007273,0.006144,0.007968,0.010464
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_00_edge,0.051853,0.050496,0.052736,0.056928
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_00_node,0.014859,0.013312,0.015584,0.019456
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_01_edge,0.052527,0.050464,0.052896,0.255008
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_01_node,0.014929,0.013568,0.015776,0.033792
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_02_edge,0.051816,0.050176,0.052704,0.055776
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_02_node,0.014859,0.013792,0.015712,0.019744
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_03_edge,0.051874,0.050432,0.052896,0.055232
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_03_node,0.014833,0.013312,0.015552,0.020096
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_04_edge,0.052446,0.050176,0.053056,0.239776
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_04_node,0.015518,0.013632,0.015616,0.224992
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_05_edge,0.053097,0.050496,0.052768,0.257664
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_05_node,0.014853,0.013536,0.015648,0.020672
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_06_edge,0.051819,0.050176,0.052864,0.056512
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_06_node,0.014820,0.013472,0.015584,0.019680
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_07_edge,0.051916,0.050592,0.052928,0.055520
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_07_node,0.015322,0.013664,0.015616,0.172864
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_08_edge,0.051790,0.050176,0.052736,0.055840
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_08_node,0.014869,0.013728,0.015744,0.020704
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_09_edge,0.051849,0.050176,0.052832,0.057184
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_09_node,0.014812,0.013504,0.015648,0.018656
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_10_edge,0.052387,0.050432,0.052640,0.224256
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_10_node,0.014836,0.013600,0.015616,0.020032
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_11_edge,0.051820,0.050400,0.052800,0.055552
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,block_11_node,0.015349,0.013280,0.015488,0.197088
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,encoder_total,0.066883,0.065504,0.068128,0.071808
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,processor_12_total,0.805601,0.789920,0.812032,1.168384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,decoder_integrate,0.006900,0.006144,0.007168,0.011488
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,300,total,0.935581,0.917824,0.942272,1.297472
