device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,skin,0.022465,0.020896,0.023168,0.027456
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,features_world,0.032336,0.030432,0.033792,0.036864
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,encoder_node,0.024552,0.023552,0.025216,0.029952
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,encoder_mesh,0.028463,0.026848,0.028672,0.213824
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,encoder_world_direct,0.007158,0.006144,0.007744,0.012512
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,encoder_world_inverse,0.007255,0.006144,0.008000,0.011456
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_00_edge,0.051889,0.049504,0.053760,0.055872
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_00_node,0.015037,0.013664,0.016000,0.019104
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_01_edge,0.052549,0.049760,0.054272,0.257824
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_01_node,0.014935,0.013472,0.015872,0.018976
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_02_edge,0.051982,0.049568,0.054272,0.059648
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_02_node,0.015017,0.013312,0.016032,0.020608
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_03_edge,0.051870,0.049792,0.053856,0.056448
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_03_node,0.014945,0.013728,0.015776,0.017632
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_04_edge,0.053199,0.049152,0.054272,0.259072
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_04_node,0.014955,0.013664,0.015936,0.020640
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_05_edge,0.051907,0.049728,0.054176,0.056800
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_05_node,0.014914,0.013568,0.015840,0.020000
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_06_edge,0.051881,0.049472,0.054272,0.057536
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_06_node,0.015025,0.013600,0.015904,0.019584
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_07_edge,0.051935,0.049152,0.054048,0.057024
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_07_node,0.015506,0.013600,0.015936,0.185248
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_08_edge,0.051893,0.049408,0.053920,0.056160
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_08_node,0.014909,0.013568,0.015840,0.017952
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_09_edge,0.051881,0.049600,0.054208,0.055584
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_09_node,0.014964,0.013472,0.015904,0.018688
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_10_edge,0.052610,0.049344,0.054272,0.260704
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_10_node,0.014900,0.013792,0.015840,0.019680
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_11_edge,0.052581,0.049152,0.054016,0.264736
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_11_node,0.015019,0.013504,0.016256,0.020704
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,encoder_total,0.067429,0.065440,0.068096,0.252928
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,processor_12_total,0.806833,0.775168,0.839680,1.029120
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,decoder_integrate,0.006917,0.006144,0.007168,0.010464
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,total,0.936075,0.902784,0.973568,1.160512
