device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,skin,0.022743,0.020448,0.023264,0.102848
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,features_world,0.033200,0.030720,0.033888,0.212640
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,encoder_node,0.025281,0.023552,0.025312,0.235456
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,encoder_mesh,0.029040,0.026880,0.028672,0.214016
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,encoder_world_direct,0.007273,0.006144,0.007968,0.012544
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,encoder_world_inverse,0.007180,0.006144,0.007872,0.011360
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_00_edge,0.052272,0.050176,0.053696,0.056288
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_00_node,0.015080,0.013888,0.016032,0.017696
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_01_edge,0.052824,0.049888,0.053728,0.240640
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_01_node,0.015714,0.013568,0.016128,0.193888
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_02_edge,0.052175,0.050176,0.053760,0.055488
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_02_node,0.015118,0.013696,0.015904,0.046752
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_03_edge,0.053365,0.050176,0.053824,0.231424
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_03_node,0.015060,0.013696,0.016000,0.018656
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_04_edge,0.052228,0.050176,0.053664,0.057632
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_04_node,0.015087,0.013600,0.016032,0.020224
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_05_edge,0.052833,0.049952,0.053888,0.232992
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_05_node,0.015114,0.013728,0.016000,0.019648
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_06_edge,0.052225,0.050144,0.053696,0.058496
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_06_node,0.015164,0.013824,0.016384,0.019680
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_07_edge,0.052830,0.050176,0.053984,0.231424
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hml_001962,tinyhood32x12,1377,7894,4096,300,block_07_node,0.015119,0.013792,0.016032,0.019712
