device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,skin,0.008261,0.007456,0.008736,0.012768
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,features_world,0.049904,0.046080,0.055296,0.264256
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,encoder_node,0.026708,0.025600,0.027392,0.029184
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,encoder_mesh,0.102549,0.100768,0.102464,0.314368
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,encoder_world_direct,0.015210,0.014144,0.015872,0.020736
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,encoder_world_inverse,0.015310,0.014336,0.016096,0.020352
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_00_edge,0.177199,0.173568,0.179200,0.374592
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_00_node,0.026712,0.025344,0.028672,0.029696
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_01_edge,0.176732,0.173472,0.179200,0.386048
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_01_node,0.027376,0.025344,0.028992,0.232128
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_02_edge,0.175872,0.173536,0.178944,0.335136
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_02_node,0.027289,0.025408,0.028672,0.212416
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_03_edge,0.175389,0.173568,0.179200,0.180384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_03_node,0.026694,0.025344,0.028832,0.030912
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_04_edge,0.175384,0.173536,0.178816,0.180416
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_04_node,0.027369,0.025440,0.028864,0.204800
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_05_edge,0.176048,0.173536,0.178880,0.386560
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_05_node,0.026762,0.025376,0.028832,0.032032
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_06_edge,0.175986,0.173504,0.179200,0.381952
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_06_node,0.027400,0.025440,0.028672,0.235520
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_07_edge,0.175293,0.173600,0.179200,0.180480
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_07_node,0.027346,0.025440,0.028736,0.203072
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_08_edge,0.175978,0.173568,0.179200,0.366592
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_08_node,0.026764,0.025408,0.028672,0.029568
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_09_edge,0.176746,0.173568,0.179264,0.388608
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_09_node,0.026832,0.025312,0.028928,0.031968
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_10_edge,0.177892,0.173536,0.179200,0.383264
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_10_node,0.027278,0.025536,0.028672,0.191168
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_11_edge,0.175888,0.173536,0.179200,0.346016
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_11_node,0.026778,0.025376,0.028832,0.032288
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,encoder_total,0.159776,0.157664,0.161984,0.372800
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,processor_12_total,2.440172,2.407808,2.616320,2.775136
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,decoder_integrate,0.015486,0.014784,0.016384,0.016384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,total,2.673726,2.637824,2.848064,3.006176
