device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,skin,0.008329,0.007296,0.008704,0.013728
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,features_world,0.048079,0.046464,0.049152,0.052544
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,encoder_node,0.026693,0.025600,0.027392,0.029952
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,encoder_mesh,0.102452,0.100768,0.102496,0.309248
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,encoder_world_direct,0.015205,0.014176,0.015840,0.020320
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,encoder_world_inverse,0.015320,0.014336,0.016000,0.019328
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_00_edge,0.174530,0.173536,0.175328,0.179584
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_00_node,0.026348,0.025408,0.027040,0.027392
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_01_edge,0.175901,0.173536,0.175328,0.380608
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_01_node,0.026317,0.025376,0.026944,0.027264
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_02_edge,0.175934,0.173440,0.175232,0.384000
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_02_node,0.026299,0.025376,0.026880,0.027808
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_03_edge,0.175805,0.173472,0.175264,0.383488
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_03_node,0.026928,0.025408,0.026976,0.197632
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_04_edge,0.175628,0.173504,0.175264,0.348128
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_04_node,0.026414,0.025408,0.027200,0.028928
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_05_edge,0.175099,0.173504,0.175232,0.354528
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,300,block_05_node,0.027087,0.025408,0.027168,0.233184
