device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,skin,0.008468,0.007520,0.008992,0.011584
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,features_world,0.048044,0.046368,0.049312,0.054304
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_node,0.026731,0.025888,0.027392,0.027648
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_mesh,0.101713,0.100800,0.102400,0.102560
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_world_direct,0.015122,0.014176,0.015840,0.016288
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,encoder_world_inverse,0.015498,0.014336,0.018624,0.020768
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_00_edge,0.174595,0.173504,0.175456,0.176352
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_00_node,0.027003,0.025408,0.027008,0.068384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_01_edge,0.174466,0.173632,0.175392,0.177664
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_01_node,0.026379,0.025376,0.027008,0.027232
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_02_edge,0.174577,0.173600,0.175360,0.178016
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_02_node,0.026303,0.025440,0.026976,0.027136
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_03_edge,0.177937,0.173728,0.176352,0.368640
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_03_node,0.026286,0.025440,0.026624,0.031808
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_04_edge,0.177927,0.173600,0.175136,0.379904
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_04_node,0.032572,0.025376,0.028224,0.225280
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_05_edge,0.177442,0.173472,0.175744,0.340064
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_05_node,0.029830,0.025376,0.027168,0.235200
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_06_edge,0.174467,0.173536,0.175296,0.175552
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,hood_grid64,tinyhood32x12,4096,32004,1986,60,block_06_node,0.026328,0.025440,0.026976,0.027232
