device,driver_version,driver_raw,motion,solver,cloth_nodes,directed_mesh_edges,proxy_vertices,samples,stage,mean_ms,min_ms,p95_ms,max_ms
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,skin,0.022877,0.021888,0.023648,0.023872
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,features_world,0.032883,0.031168,0.033792,0.036032
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,encoder_node,0.024566,0.023744,0.025280,0.027040
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,encoder_mesh,0.027805,0.026944,0.028672,0.028896
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,encoder_world_direct,0.007091,0.006144,0.007712,0.007936
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,encoder_world_inverse,0.007179,0.006400,0.007840,0.007936
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_00_edge,0.053410,0.052160,0.054272,0.056512
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_00_node,0.015509,0.014240,0.016384,0.019360
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_01_edge,0.053262,0.052224,0.054112,0.054464
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_01_node,0.015388,0.014336,0.016192,0.016576
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_02_edge,0.053282,0.052096,0.054272,0.054528
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_02_node,0.015322,0.014336,0.016192,0.016384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_03_edge,0.053450,0.052224,0.054272,0.058560
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_03_node,0.015433,0.014048,0.016128,0.016800
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_04_edge,0.053374,0.052160,0.054080,0.054592
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_04_node,0.015251,0.014080,0.015840,0.016384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_05_edge,0.053353,0.052224,0.054080,0.057440
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_05_node,0.015364,0.014336,0.016384,0.016576
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_06_edge,0.053382,0.052224,0.054400,0.057568
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_06_node,0.015435,0.014208,0.016384,0.016704
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_07_edge,0.053445,0.052224,0.054272,0.056896
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_07_node,0.015216,0.014176,0.016000,0.020544
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_08_edge,0.053432,0.051968,0.054272,0.058464
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_08_node,0.015221,0.014304,0.016128,0.016384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_09_edge,0.053306,0.052224,0.054272,0.056832
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_09_node,0.015287,0.014272,0.016096,0.016384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_10_edge,0.056910,0.052512,0.054368,0.262144
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_10_node,0.015312,0.014336,0.016000,0.016384
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_11_edge,0.053443,0.052384,0.054304,0.057568
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,block_11_node,0.015340,0.014304,0.015968,0.017184
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,encoder_total,0.066642,0.065728,0.067584,0.069056
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,processor_12_total,0.828599,0.818112,0.833536,1.032192
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,decoder_integrate,0.006884,0.006144,0.007168,0.007168
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,xpbd_8_jacobi,0.077095,0.075776,0.077824,0.078144
"NVIDIA GeForce RTX 4060 Ti",596.36.0.0,2500395008,ch10032_tpose,tinyhood32x12,1377,7894,4096,60,total,1.034980,1.023520,1.040352,1.239264
